loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,name,pan_card,loan_returned,trustworthiness_score,education_enc,self_employed_enc,loan_status_enc
28,4,Not Graduate,Yes,2400000.0,5600000.0,4,662,4500000.0,4200000.0,5400000.0,2500000.0,Approved,Riya Agarwal,ZJGTD9617L,,50,0.0,1.0,1
29,5,Not Graduate,Yes,7000000.0,24000000.0,6,336,2300000.0,11900000.0,27500000.0,9700000.0,Rejected,Rahul Mehta,GMGME3208P,,50,0.0,1.0,0
30,3,Not Graduate,Yes,9000000.0,31500000.0,10,850,21800000.0,12400000.0,33700000.0,8000000.0,Approved,Amit Sharma,MKBHA3439G,,50,0.0,1.0,1
31,2,Not Graduate,No,9800000.0,25300000.0,12,313,20200000.0,5200000.0,25500000.0,9300000.0,Rejected,Amit Gupta,NITHW8626P,,50,0.0,0.0,0
32,2,Graduate,No,5700000.0,12000000.0,6,363,3600000.0,7400000.0,21700000.0,4300000.0,Rejected,Suresh Gupta,PJTEY6512R,,50,1.0,0.0,0
33,1,Not Graduate,Yes,800000.0,1600000.0,10,436,700000.0,200000.0,2200000.0,1000000.0,Rejected,Rahul Bansal,YADTI8639P,,50,0.0,1.0,0
34,5,Not Graduate,Yes,8400000.0,22000000.0,2,830,3800000.0,3900000.0,19900000.0,5400000.0,Approved,Pooja Gupta,GIJYI6142N,,50,0.0,1.0,1
35,3,Graduate,No,4900000.0,11900000.0,8,612,9700000.0,1200000.0,19000000.0,5800000.0,Approved,Vikas Malhotra,ZEDAJ1889M,,50,1.0,0.0,1
36,2,Graduate,Yes,1700000.0,3400000.0,8,691,2700000.0,2800000.0,6000000.0,900000.0,Approved,Meera Kapoor,TPVWJ7410N,,50,1.0,1.0,1
37,3,Not Graduate,No,1600000.0,6200000.0,18,636,3400000.0,700000.0,5300000.0,1400000.0,Approved,Kavita Mehta,KVXQV7544E,,50,0.0,0.0,1
38,5,Graduate,Yes,8000000.0,27200000.0,6,348,6400000.0,300000.0,16700000.0,7100000.0,Rejected,Rohit Singh,USEYA3418Z,,50,1.0,1.0,0
39,5,Graduate,No,3600000.0,7700000.0,16,830,7000000.0,1300000.0,10000000.0,2900000.0,Approved,Ankit Kumar,AFMIL9863C,,50,1.0,0.0,1
40,3,Not Graduate,Yes,1500000.0,5100000.0,6,352,100000.0,200000.0,5600000.0,900000.0,Rejected,Ankit Malhotra,HAGZM2919Z,,50,0.0,1.0,0
41,1,Graduate,No,7800000.0,18100000.0,2,712,8600000.0,11200000.0,21700000.0,9000000.0,Approved,Vikas Gupta,QRHOQ7854V,,50,1.0,0.0,1
42,2,Not Graduate,No,9100000.0,24900000.0,16,822,22300000.0,12100000.0,31000000.0,5200000.0,Approved,Manish Sharma,GNVQU1433F,,50,0.0,0.0,1
43,3,Graduate,No,1400000.0,3400000.0,6,540,200000.0,1500000.0,3900000.0,800000.0,Rejected,Rakesh Singh,UJDMA3599T,,50,1.0,0.0,0
44,2,Graduate,Yes,800000.0,2300000.0,12,342,2200000.0,1300000.0,1800000.0,800000.0,Rejected,Anjali Malhotra,OCDCE8738K,,50,1.0,1.0,0
45,5,Graduate,No,6500000.0,13400000.0,18,787,18200000.0,300000.0,16200000.0,5400000.0,Approved,Rahul Kapoor,FIJRC6343U,,50,1.0,0.0,1
46,4,Graduate,No,8000000.0,27800000.0,16,331,13000000.0,6300000.0,21400000.0,10900000.0,Rejected,Manish Singh,ALGBE1664X,,50,1.0,0.0,0
47,3,Not Graduate,Yes,4200000.0,14600000.0,6,679,2400000.0,6900000.0,8700000.0,4900000.0,Approved,Riya Kapoor,YYOVW5323R,,50,0.0,1.0,1
48,1,Graduate,Yes,4900000.0,19100000.0,14,677,5400000.0,9100000.0,17700000.0,6500000.0,Approved,Isha Agarwal,SRITR2047E,,50,1.0,1.0,1
49,3,Not Graduate,No,5500000.0,20500000.0,12,634,800000.0,8600000.0,18500000.0,8200000.0,Approved,Amit Bansal,BITGT0385L,,50,0.0,0.0,1
50,1,Not Graduate,Yes,9500000.0,19100000.0,16,662,100000.0,10500000.0,37700000.0,11700000.0,Approved,Priya Verma,MNTBM6099I,,50,0.0,1.0,1
51,4,Graduate,No,7300000.0,25400000.0,16,502,500000.0,1800000.0,20500000.0,10500000.0,Rejected,Rohit Verma,SIEHC1743T,,50,1.0,0.0,0
52,2,Graduate,No,8700000.0,24700000.0,10,435,6800000.0,3500000.0,21800000.0,11300000.0,Rejected,Meera Agarwal,AHAJF8243P,,50,1.0,0.0,0
53,5,Not Graduate,No,3800000.0,7600000.0,4,689,8700000.0,100000.0,9300000.0,3400000.0,Approved,Pooja Gupta,BKITX5634T,,50,0.0,0.0,1
54,1,Not Graduate,Yes,8400000.0,23000000.0,12,657,15400000.0,14800000.0,31900000.0,8200000.0,Approved,Rohit Mehta,UABZK1257G,,50,0.0,1.0,1
55,2,Graduate,Yes,5100000.0,19700000.0,20,590,7400000.0,9300000.0,19400000.0,3400000.0,Approved,Amit Agarwal,MIBBG4504V,,50,1.0,1.0,1
56,5,Not Graduate,No,6700000.0,24500000.0,12,818,1200000.0,5600000.0,16300000.0,6200000.0,Approved,Nikhil Singh,ENUMZ8983D,,50,0.0,0.0,1
57,2,Not Graduate,No,4300000.0,10600000.0,18,431,2100000.0,1500000.0,9300000.0,5200000.0,Rejected,Kavita Agarwal,XBFDL8163U,,50,0.0,0.0,0
58,5,Graduate,Yes,9300000.0,30500000.0,18,841,19300000.0,10300000.0,34600000.0,8700000.0,Approved,Shreya Gupta,XJBAV0997Z,,50,1.0,1.0,1
59,1,Graduate,No,7400000.0,18400000.0,20,421,18500000.0,9100000.0,17500000.0,4100000.0,Rejected,Arjun Bansal,YYJFE9264C,,50,1.0,0.0,0
60,4,Not Graduate,Yes,5500000.0,18200000.0,16,797,-100000.0,4900000.0,18600000.0,4800000.0,Approved,Ankit Mehta,CETNR7192X,,50,0.0,1.0,1
61,2,Not Graduate,No,8500000.0,18900000.0,18,478,23800000.0,16300000.0,25900000.0,11400000.0,Rejected,Neha Kumar,VSBYJ1246R,,50,0.0,0.0,0
62,3,Not Graduate,Yes,9600000.0,30500000.0,18,669,4700000.0,1900000.0,26500000.0,9300000.0,Approved,Vikas Sharma,DBBLP7528D,,50,0.0,1.0,1
63,5,Not Graduate,Yes,8800000.0,28900000.0,6,365,24400000.0,8600000.0,27400000.0,4700000.0,Rejected,Isha Agarwal,JUBSD8741R,,50,0.0,1.0,0
64,3,Not Graduate,Yes,3300000.0,7500000.0,20,586,1600000.0,5600000.0,10500000.0,2900000.0,Approved,Isha Kumar,LMMJQ4648F,,50,0.0,1.0,1
65,4,Graduate,Yes,3900000.0,12300000.0,18,784,7600000.0,6900000.0,13100000.0,2800000.0,Approved,Rahul Verma,DKSTA0231F,,50,1.0,1.0,1
66,1,Graduate,No,4100000.0,10300000.0,12,364,9500000.0,6100000.0,14900000.0,2800000.0,Rejected,Rahul Mehta,SVTSO0478I,,50,1.0,0.0,0
67,3,Not Graduate,No,8300000.0,29100000.0,10,715,6100000.0,11900000.0,24100000.0,11900000.0,Approved,Ankit Sharma,BPOBZ5221S,,50,0.0,0.0,1
68,0,Not Graduate,Yes,2700000.0,10100000.0,20,693,200000.0,1700000.0,5900000.0,1400000.0,Rejected,Amit Agarwal,NAPBA7718L,,50,0.0,1.0,0
69,4,Graduate,No,5600000.0,12400000.0,4,777,5500000.0,3100000.0,11800000.0,5500000.0,Approved,Ankit Kapoor,PUNWC1180H,,50,1.0,0.0,1
70,0,Graduate,No,1900000.0,5000000.0,12,312,4000000.0,2800000.0,4900000.0,2400000.0,Rejected,Anjali Verma,PMCHO7774B,,50,1.0,0.0,0
71,4,Not Graduate,Yes,500000.0,1500000.0,20,340,100000.0,200000.0,1900000.0,600000.0,Rejected,Rakesh Kapoor,WETTM4313E,,50,0.0,1.0,0
72,5,Graduate,Yes,5300000.0,18600000.0,4,386,2700000.0,9700000.0,11900000.0,4200000.0,Approved,Shreya Agarwal,BHCWD7075P,,50,1.0,1.0,1
73,5,Not Graduate,No,7000000.0,18300000.0,4,418,18400000.0,11700000.0,21500000.0,7600000.0,Rejected,Priya Bansal,FDZUF9119X,,50,0.0,0.0,0
74,3,Not Graduate,Yes,5800000.0,16700000.0,16,735,3900000.0,9400000.0,12600000.0,5600000.0,Approved,Neha Sharma,NSFSF2173Z,,50,0.0,1.0,1
75,2,Not Graduate,No,2600000.0,8400000.0,6,494,6500000.0,3800000.0,5600000.0,2000000.0,Rejected,Sneha Agarwal,IEGPB2883Y,,50,0.0,0.0,0
76,2,Not Graduate,No,1900000.0,6500000.0,18,671,600000.0,2500000.0,4800000.0,1100000.0,Approved,Kavita Kapoor,MTHAC7382D,,50,0.0,0.0,1
77,4,Graduate,No,5700000.0,14800000.0,16,697,14300000.0,7800000.0,12900000.0,6300000.0,Approved,Riya Malhotra,PPOGB6361R,,50,1.0,0.0,1
78,0,Graduate,No,9000000.0,33500000.0,8,801,11600000.0,8900000.0,35400000.0,11100000.0,Approved,Kavita Mehta,CHNDP9743U,,50,1.0,0.0,1
79,2,Not Graduate,No,8500000.0,29400000.0,12,576,17600000.0,5600000.0,25200000.0,9000000.0,Approved,Anjali Bansal,UTPST7219R,,50,0.0,0.0,1
80,0,Not Graduate,No,700000.0,1400000.0,14,639,1900000.0,700000.0,2400000.0,900000.0,Approved,Suresh Agarwal,VPOID1179S,,50,0.0,0.0,1
81,4,Graduate,No,3500000.0,8900000.0,4,470,1300000.0,2200000.0,12300000.0,2000000.0,Rejected,Amit Sharma,DPRBQ4811V,,50,1.0,0.0,0
82,0,Not Graduate,No,8800000.0,31200000.0,4,826,2900000.0,500000.0,33300000.0,8600000.0,Approved,Manish Kapoor,OUTNQ8571H,,50,0.0,0.0,1
83,2,Not Graduate,Yes,9900000.0,21200000.0,16,363,25500000.0,11400000.0,26600000.0,6800000.0,Rejected,Rahul Sharma,UWHLD7189Q,,50,0.0,1.0,0
84,3,Graduate,No,3600000.0,8600000.0,20,613,9400000.0,300000.0,10300000.0,3300000.0,Approved,Kavita Bansal,LMPFB9004P,,50,1.0,0.0,1
85,3,Not Graduate,Yes,3000000.0,8200000.0,16,713,5300000.0,5800000.0,11000000.0,3400000.0,Approved,Rohit Bansal,MULWR1447M,,50,0.0,1.0,1
86,2,Graduate,No,6800000.0,21200000.0,16,439,17100000.0,4700000.0,23300000.0,3600000.0,Rejected,Shreya Malhotra,FDMQE6230Q,,50,1.0,0.0,0
87,5,Not Graduate,Yes,1100000.0,3800000.0,18,387,1300000.0,1200000.0,3800000.0,1600000.0,Rejected,Meera Bansal,BJLDH0685I,,50,0.0,1.0,0
88,1,Not Graduate,Yes,8700000.0,28300000.0,8,402,20400000.0,13600000.0,27900000.0,10200000.0,Rejected,Kavita Gupta,AOXZU1575T,,50,0.0,1.0,0
89,4,Graduate,Yes,2000000.0,8000000.0,6,837,5100000.0,2600000.0,3900000.0,2900000.0,Approved,Pooja Mehta,UDUKA5946L,,50,1.0,1.0,1
90,2,Not Graduate,No,9800000.0,37600000.0,10,641,24100000.0,0.0,23400000.0,7600000.0,Approved,Riya Agarwal,RREKK2308L,,50,0.0,0.0,1
91,4,Graduate,No,5700000.0,21100000.0,18,489,500000.0,4300000.0,12500000.0,6000000.0,Rejected,Rohit Gupta,XSJDO5416D,,50,1.0,0.0,0
92,4,Graduate,No,8800000.0,20700000.0,18,540,19200000.0,3200000.0,22400000.0,12700000.0,Rejected,Anjali Gupta,XBUIL5973W,,50,1.0,0.0,0
93,4,Graduate,No,3800000.0,8900000.0,4,844,9100000.0,3500000.0,13100000.0,4700000.0,Approved,Rakesh Agarwal,SZGBI1222V,,50,1.0,0.0,1
94,1,Graduate,No,1700000.0,6400000.0,10,452,900000.0,1100000.0,5600000.0,2100000.0,Rejected,Vikas Sharma,YUHYZ0467D,,50,1.0,0.0,0
95,2,Graduate,No,1000000.0,2000000.0,10,366,1200000.0,400000.0,3200000.0,1300000.0,Rejected,Pooja Kapoor,FRZQC2072U,,50,1.0,0.0,0
96,5,Graduate,No,300000.0,1100000.0,2,300,100000.0,500000.0,700000.0,400000.0,Approved,Vikas Bansal,YIPZM2761D,,50,1.0,0.0,1
97,2,Graduate,Yes,6600000.0,15000000.0,18,470,1200000.0,4800000.0,18200000.0,7000000.0,Rejected,Priya Malhotra,FIZAW4127E,,50,1.0,1.0,0
98,2,Not Graduate,No,8700000.0,25000000.0,20,861,14700000.0,8500000.0,23200000.0,7300000.0,Approved,Manish Kumar,URYXI2869T,,50,0.0,0.0,1
99,4,Graduate,No,9400000.0,29400000.0,12,562,25900000.0,15200000.0,36400000.0,7100000.0,Approved,Anjali Gupta,CBRQY7851J,,50,1.0,0.0,1
100,0,Graduate,No,4400000.0,10800000.0,14,463,2400000.0,4800000.0,13800000.0,4700000.0,Rejected,Rakesh Kumar,ELHNF2155Z,,50,1.0,0.0,0
101,4,Not Graduate,No,400000.0,900000.0,12,478,700000.0,100000.0,1200000.0,100000.0,Rejected,Sneha Kapoor,SQVRB3515M,,50,0.0,0.0,0
102,2,Not Graduate,Yes,300000.0,1100000.0,2,702,300000.0,200000.0,500000.0,200000.0,Approved,Rakesh Kapoor,YHCVI9081O,,50,0.0,1.0,1
103,2,Not Graduate,Yes,4300000.0,12900000.0,20,618,11400000.0,3600000.0,11400000.0,2400000.0,Approved,Rahul Kumar,YKSDY2271C,,50,0.0,1.0,1
104,4,Graduate,No,1600000.0,4500000.0,12,633,700000.0,1700000.0,4100000.0,1900000.0,Approved,Ankit Gupta,YMPQM9189H,,50,1.0,0.0,1
105,5,Not Graduate,Yes,6200000.0,23600000.0,10,331,18500000.0,10300000.0,23800000.0,8700000.0,Rejected,Rakesh Kumar,WJQVX8980G,,50,0.0,1.0,0
106,3,Not Graduate,Yes,4200000.0,9700000.0,16,841,7800000.0,300000.0,16700000.0,5100000.0,Approved,Sneha Kapoor,PRXJM6941C,,50,0.0,1.0,1
107,4,Not Graduate,Yes,9000000.0,18100000.0,12,764,600000.0,16500000.0,20800000.0,11600000.0,Approved,Riya Malhotra,ZPLUF8899X,,50,0.0,1.0,1
108,0,Graduate,No,2700000.0,10600000.0,6,591,1300000.0,2700000.0,9900000.0,1800000.0,Approved,Isha Agarwal,ZOCSE1079D,,50,1.0,0.0,1
109,1,Graduate,Yes,9700000.0,35900000.0,2,719,19600000.0,7600000.0,20400000.0,10900000.0,Approved,Rohit Gupta,CPRZU9921J,,50,1.0,1.0,1
110,2,Graduate,No,3300000.0,6800000.0,14,317,3400000.0,300000.0,11700000.0,3600000.0,Rejected,Riya Mehta,HIKSX5365E,,50,1.0,0.0,0
111,0,Not Graduate,No,300000.0,1100000.0,8,778,800000.0,200000.0,900000.0,100000.0,Approved,Kavita Agarwal,STGMS5645T,,50,0.0,0.0,1
112,3,Graduate,Yes,7400000.0,18200000.0,14,302,5600000.0,3100000.0,17900000.0,5000000.0,Rejected,Pooja Kapoor,VKSTL5079Q,,50,1.0,1.0,0
113,5,Not Graduate,No,7100000.0,19700000.0,8,502,7300000.0,5600000.0,25300000.0,9800000.0,Rejected,Meera Mehta,EDVCQ0160Y,,50,0.0,0.0,0
114,5,Not Graduate,Yes,7300000.0,22100000.0,18,879,19500000.0,10600000.0,19300000.0,9800000.0,Approved,Vikas Verma,WLIYG7643Q,,50,0.0,1.0,1
115,1,Not Graduate,No,8400000.0,23400000.0,14,437,15400000.0,5800000.0,33400000.0,8100000.0,Rejected,Rahul Singh,HWNRL0479I,,50,0.0,0.0,0
116,0,Not Graduate,Yes,3300000.0,10800000.0,12,797,600000.0,6000000.0,7700000.0,3300000.0,Approved,Arjun Bansal,PBLQD8190J,,50,0.0,1.0,1
117,4,Not Graduate,Yes,5800000.0,23200000.0,18,456,16100000.0,4200000.0,22600000.0,7500000.0,Rejected,Kavita Kumar,WRIIU2648Y,,50,0.0,1.0,0
118,0,Not Graduate,No,600000.0,1600000.0,6,647,1500000.0,600000.0,1500000.0,700000.0,Approved,Ankit Verma,SSUNA6601F,,50,0.0,0.0,1
119,0,Not Graduate,No,7200000.0,15800000.0,12,379,12700000.0,12200000.0,21500000.0,3600000.0,Rejected,Rakesh Verma,GPZQO1265J,,50,0.0,0.0,0
120,1,Not Graduate,Yes,9100000.0,32900000.0,2,717,2200000.0,2000000.0,23600000.0,5900000.0,Approved,Manish Singh,UFYDI7372C,,50,0.0,1.0,1
121,5,Graduate,No,900000.0,2300000.0,16,545,100000.0,200000.0,2700000.0,800000.0,Rejected,Manish Bansal,FXZOX2528B,,50,1.0,0.0,0
122,2,Graduate,No,800000.0,3200000.0,8,317,300000.0,1000000.0,2000000.0,900000.0,Rejected,Arjun Kumar,JQMLM5997D,,50,1.0,0.0,0
123,1,Not Graduate,No,8500000.0,32900000.0,10,570,5100000.0,6200000.0,20500000.0,5500000.0,Approved,Anjali Mehta,VXZUN4038K,,50,0.0,0.0,1
124,0,Not Graduate,Yes,9000000.0,18700000.0,18,865,26800000.0,0.0,20900000.0,11300000.0,Approved,Anjali Sharma,EBAMI1230C,,50,0.0,1.0,1
125,3,Graduate,No,7000000.0,19500000.0,14,719,12200000.0,10300000.0,18200000.0,10200000.0,Approved,Riya Gupta,XICAW5621N,,50,1.0,0.0,1
126,3,Graduate,No,200000.0,600000.0,16,821,400000.0,100000.0,500000.0,100000.0,Approved,Isha Gupta,NXSKD0234Z,,50,1.0,0.0,1
127,4,Not Graduate,Yes,400000.0,800000.0,10,859,900000.0,500000.0,800000.0,200000.0,Approved,Meera Bansal,KMQPC2006V,,50,0.0,1.0,1
128,3,Not Graduate,No,5100000.0,18200000.0,10,395,100000.0,8000000.0,15500000.0,6300000.0,Rejected,Suresh Sharma,DXZOO9100D,,50,0.0,0.0,0
129,2,Not Graduate,Yes,700000.0,2600000.0,12,429,1600000.0,1300000.0,2700000.0,800000.0,Rejected,Shreya Malhotra,FZXIV7239R,,50,0.0,1.0,0
130,3,Graduate,No,400000.0,1200000.0,12,861,200000.0,600000.0,1100000.0,200000.0,Approved,Shreya Agarwal,EJUIS4537T,,50,1.0,0.0,1
131,0,Not Graduate,Yes,9500000.0,20800000.0,14,565,15100000.0,11900000.0,33900000.0,13400000.0,Approved,Rakesh Malhotra,PPIMX0718J,,50,0.0,1.0,1
132,5,Graduate,No,8800000.0,22600000.0,10,357,7900000.0,8600000.0,18200000.0,4900000.0,Rejected,Riya Malhotra,EEMTA2615Y,,50,1.0,0.0,0
133,3,Not Graduate,Yes,1800000.0,3600000.0,18,465,600000.0,500000.0,5400000.0,2600000.0,Rejected,Arjun Kapoor,WDORY4057A,,50,0.0,1.0,0
134,4,Not Graduate,Yes,6800000.0,13900000.0,8,479,11700000.0,9100000.0,25700000.0,9600000.0,Rejected,Sneha Verma,WTAVB5810M,,50,0.0,1.0,0
135,3,Not Graduate,No,1500000.0,5500000.0,16,717,2100000.0,800000.0,4400000.0,1300000.0,Approved,Rahul Sharma,NWBTW5270K,,50,0.0,0.0,1
136,3,Graduate,No,1600000.0,5500000.0,12,425,600000.0,800000.0,5400000.0,900000.0,Rejected,Riya Gupta,QOVSQ8951I,,50,1.0,0.0,0
137,2,Not Graduate,No,4600000.0,16700000.0,2,786,200000.0,5900000.0,13900000.0,6100000.0,Approved,Ankit Bansal,JEIFO2286R,,50,0.0,0.0,1
138,5,Not Graduate,Yes,2200000.0,6700000.0,6,382,4400000.0,1300000.0,8600000.0,1100000.0,Rejected,Rohit Bansal,UZEVP3404I,,50,0.0,1.0,0
139,3,Not Graduate,Yes,2900000.0,8500000.0,12,564,1000000.0,3100000.0,7500000.0,1800000.0,Approved,Manish Gupta,MCMAB5807I,,50,0.0,1.0,1
140,0,Graduate,No,200000.0,700000.0,8,501,500000.0,200000.0,700000.0,100000.0,Rejected,Shreya Malhotra,LCNHN2456F,,50,1.0,0.0,0
141,2,Not Graduate,Yes,2500000.0,9400000.0,10,727,6600000.0,4100000.0,9500000.0,3300000.0,Approved,Kavita Sharma,FNDZT7535E,,50,0.0,1.0,1
142,4,Not Graduate,No,3600000.0,7500000.0,6,894,1100000.0,6500000.0,7400000.0,2800000.0,Approved,Arjun Kapoor,MKEDN0921Y,,50,0.0,0.0,1
143,0,Graduate,Yes,5500000.0,16700000.0,18,829,5500000.0,1300000.0,12800000.0,5900000.0,Approved,Sneha Sharma,FCMLZ9314A,,50,1.0,1.0,1
144,4,Not Graduate,No,6600000.0,17400000.0,20,506,2600000.0,10000000.0,25900000.0,7200000.0,Rejected,Rakesh Mehta,LQKDS0025X,,50,0.0,0.0,0
145,2,Graduate,Yes,8600000.0,32100000.0,6,802,9400000.0,16700000.0,24500000.0,9800000.0,Approved,Anjali Kapoor,NRKRS8876T,,50,1.0,1.0,1
146,5,Not Graduate,No,600000.0,1500000.0,14,543,300000.0,900000.0,2100000.0,300000.0,Rejected,Manish Bansal,YRWUP9273C,,50,0.0,0.0,0
147,3,Graduate,Yes,1400000.0,3200000.0,20,772,2400000.0,900000.0,5100000.0,1600000.0,Approved,Anjali Malhotra,MNONK6823U,,50,1.0,1.0,1
148,3,Graduate,No,4000000.0,11100000.0,12,572,9700000.0,100000.0,12500000.0,2400000.0,Approved,Suresh Agarwal,BRAAG1883O,,50,1.0,0.0,1
149,0,Not Graduate,Yes,4900000.0,11900000.0,16,709,14600000.0,900000.0,18500000.0,3800000.0,Approved,Shreya Mehta,GFWNX8304K,,50,0.0,1.0,1
150,5,Graduate,No,2000000.0,6200000.0,18,402,4000000.0,2100000.0,7200000.0,1100000.0,Rejected,Shreya Singh,JSGME1362L,,50,1.0,0.0,0
151,1,Not Graduate,Yes,5200000.0,19300000.0,8,481,14300000.0,9500000.0,18800000.0,4200000.0,Rejected,Anjali Malhotra,KXSJN9140D,,50,0.0,1.0,0
152,5,Graduate,Yes,8900000.0,28800000.0,6,772,13600000.0,5500000.0,20400000.0,8400000.0,Approved,Rohit Agarwal,HWCSX2399F,,50,1.0,1.0,1
153,1,Graduate,Yes,6500000.0,20600000.0,2,306,15900000.0,1900000.0,18100000.0,3200000.0,Approved,Anjali Malhotra,OIRHT9064L,,50,1.0,1.0,1
154,2,Not Graduate,No,1300000.0,4500000.0,6,415,0.0,900000.0,2900000.0,1200000.0,Rejected,Neha Gupta,RDPHO6272B,,50,0.0,0.0,0
155,3,Not Graduate,No,9400000.0,35000000.0,16,548,18200000.0,4400000.0,36100000.0,4800000.0,Rejected,Vikas Sharma,PPNTL3296P,,50,0.0,0.0,0
156,5,Not Graduate,No,5000000.0,11200000.0,8,701,9100000.0,500000.0,14000000.0,4600000.0,Approved,Nikhil Verma,TAWGM7405F,,50,0.0,0.0,1
